Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
COYLE001-R2	COYLE001-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13091.0	0.0	251.0	46.0	7.967305782598732	251.0	pass	fail	pass	warn	fail	fail	pass	pass	fail	fail	fail
COYLE002-R2	COYLE002-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18563.0	0.0	251.0	43.0	6.556052362225934	251.0	pass	fail	pass	warn	fail	fail	pass	pass	fail	fail	fail
COYLE003-R2	COYLE003-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10846.0	0.0	251.0	59.0	6.278812465425042	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
COYLE004-R2	COYLE004-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10535.0	0.0	251.0	56.0	4.717607973421927	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
COYLE005-R2	COYLE005-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12732.0	0.0	251.0	58.0	4.948162111215834	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
COYLE006-R2	COYLE006-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19258.0	0.0	251.0	49.0	5.75345311039568	251.0	pass	warn	pass	warn	fail	fail	pass	pass	fail	fail	fail
COYLE007-R2	COYLE007-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19044.0	0.0	251.0	45.0	5.503045578659945	251.0	pass	fail	pass	warn	fail	fail	pass	pass	fail	fail	fail
COYLE008-R2	COYLE008-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8483.0	0.0	251.0	51.0	8.32252740775669	251.0	pass	warn	pass	warn	fail	fail	pass	pass	fail	fail	fail
LISTON01-R2	LISTON01-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32997.0	0.0	251.0	25.0	21.898960511561658	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
LISTON02-R2	LISTON02-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26413.0	0.0	251.0	26.0	25.40415704387991	251.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
LISTON03-R2	LISTON03-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34719.0	0.0	251.0	25.0	21.87274979118062	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
LISTON04-R2	LISTON04-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44885.0	0.0	251.0	25.0	18.772418402584382	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
LISTON05-R2	LISTON05-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19447.0	0.0	251.0	26.0	28.539106288887744	251.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
